;nr.;zone;extinktion_kontrolle;extinktion_1;extinktion_2;extinktion_differenz;extinktion_korrigiert;volumen;m.intestinalis;m.orientalis;parasiten_gesamt;tag;
;77;Unten;0;0,15;0,13;0,14;0,14;7;0;1;1;16.09.2021;
;78;Oben;0;1,02;0,98;1;1;15;0;1;1;16.09.2021;
;79;Rand;-0,01;0,05;0,03;0,05;0,05;10;0;0;0;16.09.2021;
;80;Unten;-0,01;0,08;0,08;0,09;0,09;6;1;0;1;16.09.2021;
;81;Oben;-0,01;0,1;0,08;0,1;0,1;14;1;0;1;16.09.2021;
;82;Rand;0,09;0,22;0,2;0,12;0,12;21;1;0;1;16.09.2021;
;83;Unten;0,09;0,34;0,25;0,205;0,205;8;0;0;0;16.09.2021;
;84;Oben;0,09;0,24;0,27;0,165;0,165;10;1;0;1;16.09.2021;
;85;Rand;0,05;0;-0,05;-0,075;-0,075;10;4;0;4;16.09.2021;
;86;Unten;0,05;0,08;0,12;0,05;0,05;6;0;0;0;16.09.2021;
;87;Oben;0,05;0,14;0,12;0,08;0,08;13;0;0;0;16.09.2021;
;88;Rand;0;0,11;0,12;0,115;0,115;14;2;0;2;16.09.2021;
;89;Unten;0;0,32;0,23;0,275;0,275;6;0;0;0;16.09.2021;
;90;Oben;0;-0,01;-0,01;-0,01;-0,01;12;0;1;1;16.09.2021;
;91;Rand;0;0,12;0,11;0,115;0,115;13;0;0;0;16.09.2021;
;92;Unten;0;-0,05;-0,03;-0,04;-0,04;4;0;0;0;16.09.2021;
;93;Oben;0;-0,01;0,02;0,005;0,05;10;2;0;2;16.09.2021;
;95;Unten;0,05;-0,02;-0,02;-0,07;-0,07;6;0;0;0;16.09.2021;
;96;Oben;0,05;-0,2;-0,22;-0,26;-0,26;12;1;0;1;16.09.2021;
;97;Oben;-0,15;0,29;0,31;0,45;0,45;14;0;0;0;16.09.2021;
